LOC_ID,site,land_cover,temp,temp_seas,land_temp,precip,precip_seas,water_dist,WDPA,closed_prop,open_prop,other_prop,ID.x,hum_pop,log_hum_pop,ID.y,slope,rough_range,ID,clay
MT12,KMM,11,19.51250076,75.71253204,31.20505333,1126,41.0074501,6887.466797,2,0,1,0,199,1454,7.28276118,199,3.581584815,4.712606817,199,31.8245614
MT13,KMM,11,19.63333321,77.29322815,31.14008522,1110,40.41720963,5857.563477,2,0.007579842,0.98579176,0.006628397,200,1528,7.332369206,200,3.350867041,4.365832602,200,31.67272727
MT14,KMM,11,19.88750076,78.28053284,31.13647842,1072,41.14891434,4373.632813,2,0,1,0,201,1592,7.37337431,201,3.221857553,4.166101719,201,31.52631579
MT15,KMM,11,19.95416641,78.86865997,31.59096718,1053,41.49763489,2746.42041,2,0.01392104,0.983859204,0.002219756,202,1780,7.484930283,202,3.402051534,4.385569723,202,29.86206897
MT16,KMM,11,20.00833321,78.99463654,31.90688515,1038,41.48630142,821.3783569,2,0.002949011,0.993721461,0.003329528,203,1807,7.499976541,203,3.614259137,4.779704501,203,26.27586207
MT17,KMM,11,19.95000076,73.60830688,31.13209724,1157,40.06282043,10601.92188,2,0.012018011,0.986586758,0.001395231,204,2256,7.721791777,204,3.358495107,4.388528057,204,30.17241379
MT18,KMM,11,19.90416718,75.87245178,31.14697075,1141,40.07204819,8869.476563,2,0,0.998509734,0.001490266,205,979,6.887552572,205,3.201932126,4.308815955,205,29.19642857
MT19,KMM,11,19.77083397,76.8841629,31.11016655,1127,39.9833107,7308.889648,2,0.191901576,0.790024416,0.018074008,206,338,5.826000107,206,3.066564039,3.949226048,206,31.16071429
MT20,KMM,2,19.74583244,75.39165497,30.88292694,1123,40.07353592,5976.405273,2,0.365732226,0.584258261,0.050009514,207,407,6.011267174,207,3.044256763,3.961897438,207,32.73214286
MT21,KMM,11,19.72916603,77.14972687,30.99184418,1116,40.54497147,5142.062988,2,0,1,0,208,1053,6.960347729,208,3.063618498,4.001479345,208,32.25
MT22,KMM,11,19.72083282,77.44374847,31.0638752,1102,40.08158875,4408.935547,2,0,1,0,209,1557,7.351158226,209,3.070344351,3.97841053,209,30.92727273
MT23,KMM,11,19.71666718,76.34648132,31.16108513,1090,40.36077499,3109.023438,2,0.011326142,0.984930203,0.003743655,210,1562,7.35436233,210,4.507037251,6.047508825,210,32.92727273
MT24,KMM,11,19.99166679,78.44609833,31.67263985,1054,40.70355225,1972.113159,2,0.020799645,0.977012588,0.002187768,211,1813,7.503289631,211,3.692879858,4.874517776,211,30.06896552
MT25,KMM,2,20.125,80.46738434,31.76661682,1036,41.41561127,205.3445892,2,0.188863521,0.739472349,0.07166413,212,1807,7.499976541,212,4.340114454,5.772942798,212,27.22413793
MT26,KMM,11,19.82916641,74.35964203,30.78547096,1167,39.92088318,8827.569336,2,0.035135564,0.94076423,0.024100206,213,6477,8.7761671,213,2.826986138,3.632310679,213,30.25454545
MT27,KMM,11,19.78333282,74.32526398,30.83175087,1160,40.37991333,7890.496094,2,0.002821993,0.995814573,0.001363435,214,3153,8.056426768,214,2.816859628,3.632055778,214,32.12727273
MT28,KMM,11,19.84166718,76.18260956,30.8133316,1139,39.96404648,6083.763672,2,0.331801034,0.656659164,0.011539803,215,1598,7.377133713,215,2.194077117,2.826827941,215,32.73214286
MT29,KMM,2,19.82083321,76.85460663,30.70615196,1126,40.00928879,4394.28418,2,0.359459717,0.629284378,0.011255905,216,796,6.680854679,216,2.445723672,3.123402485,216,32.94545455
MT30,KMM,11,19.77499962,77.23929596,30.83262444,1114,39.89584351,3167.510498,2,0,1,0,217,584,6.371611847,217,2.819269657,3.597758201,217,31.14285714
MT31,KMM,11,19.75833321,77.0133667,31.33525085,1108,39.87340927,2275.747314,2,0.031075596,0.967085236,0.001839168,218,1126,7.027314514,218,3.435168497,4.437704353,218,31
MT33,KMM,2,20.01250076,78.48350525,31.91308212,1061,40.78134918,249.0168915,2,0.2152802,0.685579271,0.099140528,219,1761,7.474204806,219,5.439472302,7.221220233,219,29.8245614
MT34,KMM,11,19.76666641,75.11605835,30.59876633,1183,39.87752151,6853.53125,2,0.137316462,0.843719278,0.01896426,220,9308,9.138736953,220,2.357954955,3.004265016,220,31.10344828
MT32,KMM,11,19.77499962,76.58922577,31.89133263,1096,40.85444641,1470.676147,2,0.07739398,0.912519428,0.010086592,221,1551,7.347299701,221,4.664208248,6.204404581,221,32.09090909
MT35,KMM,11,19.76666641,73.95740509,30.62344551,1168,39.64165115,6592.507813,2,0,1,0,222,5733,8.654168646,222,2.549464158,3.328374587,222,31.6
MT36,KMM,11,19.77916718,75.48204041,30.72198868,1157,40.02933121,5529.072266,2,3.17E-05,0.999714539,0.000253743,223,4075,8.312871394,223,2.672977679,3.416392424,223,31.84482759
MT37,KMM,11,19.85000038,76.78186798,30.59295654,1136,40.65879059,3614.092041,2,0.350486699,0.645137766,0.004375535,224,2199,7.696212639,224,2.165686251,2.736180708,224,31.875
MT38,KMM,2,19.85000038,76.27702332,30.85094452,1121,41.3456459,1908.84082,2,0.550868959,0.436921223,0.012209819,225,1195,7.086737935,225,2.6438296,3.357637884,225,30.85714286
MT39,KMM,11,19.89166641,78.03943634,31.61645508,1103,40.99062347,290.4010925,2,0.081452124,0.857989854,0.060558022,226,774,6.652863029,226,3.268064649,4.189134031,226,28.46296296
MT40,KMM,11,19.68333244,74.81290436,29.90625381,1198,39.63296509,4699.76123,2,0.341546169,0.636478945,0.021974886,227,11548,9.354354132,227,2.487712559,3.166613456,227,33.24137931
MT41,KMM,11,19.75833321,74.64561462,30.25185013,1183,39.52423477,4678.603027,2,0.025497098,0.971109631,0.003393271,228,8048,8.993303139,228,2.452200509,3.130210638,228,33.56896552
MT42,KMM,11,19.79583359,74.75590515,30.3937645,1159,39.32035065,5416.446289,2,0.009069288,0.985349612,0.0055811,229,5642,8.638171118,229,2.571607367,3.344082582,229,32.22413793
